YEAR,MONTH,91-Day Tbill,182-days Tbill,364-days Tbill
2007,Jan,6,8.28,                  -   
,Feb,6.22,8.56,                  -   
,Mar,6.32,7.97,                  -   
,Apr,6.65,7.93,                  -   
,May,6.77,7.98,                  -   
,Jun,6.53,7.19,                  -   
,Jul,6.52,7.17,                  -   
,Aug,7.3,7.99,                  -   
,Sep,7.35,7.82,                  -   
,Oct,7.55,7.84,                  -   
,Nov,7.52,8.04,                  -   
,Dec,6.87,7.87,                  -   
2008,Jan,6.95,8.09,                  -   
,Feb,7.28,8.3,                  -   
,Mar,6.9,7.82,                  -   
,Apr,7.35,8.3,                  -   
,May,7.76,8.75,                  -   
,Jun,7.73,8.84,                  -   
,Jul,8.03,9.09,                  -   
,Aug,8.02,8.75,                  -   
,Sep,7.69,8.08,                  -   
,Oct,7.75,8.32,                  -   
,Nov,8.39,8.86,                  -   
,Dec,8.59,9.08,                  -   
2009,Jan,8.46,8.93,                  -   
,Feb,7.55,7.89,                  -   
,Mar,7.31,7.91,                  -   
,Apr,7.34,8.34,                  -   
,May,7.45,8.77,                  -   
,Jun,7.33,8.28,                  -   
,Jul,7.24,8.14,                  -   
,Aug,7.25,8.12,8.71
,Sep,7.29,8.09,                  -   
,Oct,7.26,7.98,8.44
,Nov,7.22,8.02,                  -   
,Dec,6.82,7.38,8.01
2010,Jan,6.56,7.02,                  -   
,Feb,6.21,6.61,7.38
,Mar,5.98,6.34,                  -   
,Apr,5.17,5.58,6.01
,May,4.21,4.41,                  -   
,Jun,2.98,2.86,4.14
,Jul,1.6,1.72,                  -   
,Aug,1.83,2.03,2.96
,Sep,2.04,2.14,                  -   
,Oct,2.12,2.1,3.06
,Nov,2.21,2.28,                  -   
,Dec,2.28,2.59,3.36
2011,Jan,2.46,2.7,3.69
,Feb,2.59,2.76,3.72
,Mar,2.77,3.06,4
,Apr,3.26,3.51,5
,May,5.35,4.57,6.77
,Jun,8.95,9.93,                  -   
,Jul,8.99,9.85,10.22
,Aug,9.23,10.15,11.07
,Sep,11.93,11.28,12.54
,Oct,14.8,14.68,14.5
,Nov,16.14,15.9,16.62
,Dec,18.3,18.3,20.96
2012,Jan,20.56,20.69,21.96
,Feb,19.7,19.88,20.96
,Mar,17.8,18.24,17.04
,Apr,16.01,16.92,16.92
,May,11.18,12.71,12.43
,Jun,10.09,10.67,12.43
,Jul,11.95,12.21,13
,Aug,10.93,11.77,12.85
,Sep,7.77,9.36,10.34
,Oct,8.98,10.33,10.57
,Nov,9.8,10.47,11.94
,Dec,8.3,9.25,11.71
2013,Jan,8.08,8.09,11.67
,Feb,8.38,8.4,11.66
,Mar,9.88,9.89,12.54
,Apr,10.38,10.75,12.49
,May,9.46,10.04,11.29
,Jun,6.21,7.12,8.57
,Jul,5.92,6.23,8.81
,Aug,10.03,9.57,11.35
,Sep,9.58,10.15,10.91
,Oct,9.72,10.28,10.75
,Nov,9.94,10.54,10.97
,Dec,9.52,10.41,10.69
2014,Jan,9.26,10.36,10.65
,Feb,9.16,10.35,10.67
,Mar,8.98,10.08,10.46
,Apr,8.8,9.83,10.2
,May,8.82,9.86,10.09
,Jun,9.81,10.5,10.55
,Jul,9.78,10.74,10.96
,Aug,8.29,8.85,10.28
,Sep,8.38,8.61,10.26
,Oct,8.67,8.91,10.28
,Nov,8.64,9.18,10.24
,Dec,8.58,9.49,10.38
2015,Jan,8.59,10.19,10.73
,Feb,8.59,10.37,10.96
,Mar,8.49,10.35,10.69
,Apr,8.42,10.26,10.57
,May,8.26,10.37,10.77
,Jun,8.26,10.55,10.98
,Jul,10.57,11.99,11.93
,Aug,11.54,12.06,13.3
,Sep,14.61,13.4,15.24
,Oct,21.65,21.52,21.61
,Nov,12.34,14.02,15.2
,Dec,9.81,11.43,12.5
2016,Jan,11.36,13.46,14.08
,Feb,10.63,13.19,13.74
,Mar,8.72,10.83,12.26
,Apr,8.92,10.87,11.84
,May,8.15,10.25,11.6
,Jun,7.25,9.56,10.84
,Jul,6.16,9.79,10.88
,Aug,8.48,10.84,11.66
,Sep,8.06,10.85,11.03
,Oct,7.76,10.32,10.42
,Nov,8.22,10.32,10.74
,Dec,8.44,10.55,11.02
2017,Jan,8.58,10.5,10.98
,Feb,8.64,10.53,10.93
,Mar,8.69,10.53,10.91
,Apr,8.77,                  -   ,10.92
,May,8.73,10.41,10.92
,Jun,8.42,10.4,10.88
,Jul,8.22,10.32,10.89
,Aug,8.17,10.32,10.9
,Sep,8.13,10.32,10.93
,Oct,8.09,10.33,10.98
,Nov,8.01,10.47,11.01
,Dec,8.01,10.53,11.08
2018,Jan,8.04,10.64,11.16
,Feb,8.03,10.42,11.15
,Mar,8.02,10.39,10.13
,Apr,8,10.3,11.13
,May,7.96,10.26,11.14
,Jun,7.87,9.99,10.87
,Jul,7.69,9.35,10.33
,Aug,7.64,9,9.98
,Sep,7.64,8.82,9.76
,Oct,7.56,8.51,9.6
,Nov,7.36,8.3,9.53
,Dec,7.34,8.4,9.68
2019,Jan,7.19,8.92,9.96
,Feb,7.02,8.55,9.15
,Mar,7.08,8.28,9.45
,Apr,7.41,8.11,9.16
,May,7.17,7.85,9.32
,June,6.9,7.64,9.23
,July,6.62,7.45,8.84
,Aug,6.65,7.24,9.29
,Sept,6.56,7.34,9.75
,Oct,6.6,7.24,10.1
,Nov,6.65,7.61,9.79
,Dec,7.17,8.16,9.8
2020,Jan,7.23,8.17,9.87
,Feb,7.31,8.25,9.85
,Mar,7.29,8.14,9.2
,Apr,7.21,8.14,9.07
,May,7.27,8.18,9.16
,Jun,7.14,7.93,8.85
,Jul,6.24,6.69,7.58
,Aug,6.2,6.56,7.48
,Sep,6.29,6.7,7.6
,Oct,6.49,6.89,7.79
,Nov,6.69,7.11,8.04
,Dec,6.9,7.38,8.27
2021,Jan,6.92,7.48,8.42
,Feb,6.9,7.64,8.77
,Mar,7.03,7.82,9.14
,Apr,7.1,7.92,9.38
,May,7.15,7.98,9.39
,June,7.03,7.6,8.41
,July,6.64,7.07,7.54
,August,6.57,7.07,7.43
,September,6.83,7.25,7.76
,October,6.951,7.361,8.139
,November,7.1,7.66,7.928
,December,7.26,7.949,9.134
2022,Jan,7.32,8.08,9.47
,Feb,7.28,8.09,9.69
,Mar,7.25,8.08,9.77
,Apr,7.39,8.27,9.75
,May,7.65,8.69,9.85
,June,7.9,9.07,9.96
,July,8.21,9.29,9.98
,Aug,8.58,9.45,9.92
,Sept,8.92,9.6,9.9
,Oct,9.06,9.65,9.92
,Nov,9.19,9.71,10.17
,Dec,9.33,9.8,10.27
2023,Jan,9.44,9.88,10.41
,Feb,9.62,10.06,10.62
,Mar,9.76,10.25,10.75
,Apr,10.04,10.42,10.92
,May,10.47,10.83,11.27
,June,11.49,11.54,11.69
,July,12.12,12.23,12.46
,August,13.25,13.19,13.55
,September,14.38,14.46,14.42
,October,14.96,15.03,15.26
,November,15.32,15.39,15.52
,December,15.7,15.8,15.81
2024,January,16.14,16.18,16.36
,February,16.51,16.65,16.84
